,Country,Code,Year,Obesity,Consumed,Population
66,Angola,AGO,2006,21.1,15.0,20149905.0
67,Angola,AGO,2007,21.7,30.0,20905360.0
68,Angola,AGO,2008,22.3,30.0,21695636.0
69,Angola,AGO,2009,22.9,30.0,22514275.0
70,Angola,AGO,2010,23.6,30.0,23356247.0
71,Angola,AGO,2011,24.2,30.0,24220660.0
72,Angola,AGO,2012,24.8,30.0,25107925.0
73,Angola,AGO,2013,25.5,30.0,26015786.0
74,Angola,AGO,2014,26.2,30.0,26941773.0
75,Angola,AGO,2015,26.8,30.0,27884380.0
76,Angola,AGO,2016,27.5,30.0,28842482.0
121,Austria,AUT,2006,50.2,612.4706464,8285344.0
122,Austria,AUT,2007,50.6,846.8156569,8313731.0
123,Austria,AUT,2008,51.0,907.8868183,8341525.0
124,Austria,AUT,2009,51.4,885.7158476,8372657.0
125,Austria,AUT,2010,51.8,902.8543286,8409945.0
126,Austria,AUT,2011,52.2,1117.3456428,8453501.0
127,Austria,AUT,2012,52.6,1269.0194578,8502230.0
128,Austria,AUT,2013,53.0,1249.0561033,8556191.0
129,Austria,AUT,2014,53.4,1134.7097223,8615205.0
130,Austria,AUT,2015,53.9,1135.8385496,8678667.0
131,Austria,AUT,2016,54.3,1193.2470822,8747306.0
198,Belgium,BEL,2006,56.6,1537.4130848,10619484.0
199,Belgium,BEL,2007,56.9,1103.1183459,10697576.0
200,Belgium,BEL,2008,57.2,649.9305163,10778764.0
201,Belgium,BEL,2009,57.5,934.292881,10859934.0
202,Belgium,BEL,2010,57.8,870.6651789,10938735.0
203,Belgium,BEL,2011,58.1,934.4687495,11013860.0
204,Belgium,BEL,2012,58.3,914.636559,11085355.0
205,Belgium,BEL,2013,58.6,1245.1647608,11154008.0
206,Belgium,BEL,2014,58.9,1258.936808,11221225.0
207,Belgium,BEL,2015,59.2,1073.6106709,11287931.0
208,Belgium,BEL,2016,59.5,1502.1248037,11354407.0
242,Bolivia,BOL,2006,49.9,41.0,9395449.0
243,Bolivia,BOL,2007,50.5,42.0,9558438.0
244,Bolivia,BOL,2008,51.2,43.5,9721457.0
245,Bolivia,BOL,2009,51.8,45.0,9884790.0
246,Bolivia,BOL,2010,52.4,46.0,10048597.0
247,Bolivia,BOL,2011,53.1,47.5,10212951.0
248,Bolivia,BOL,2012,53.7,49.0,10377677.0
249,Bolivia,BOL,2013,54.3,50.5,10542375.0
250,Bolivia,BOL,2014,54.9,52.0,10706517.0
251,Bolivia,BOL,2015,55.5,53.5,10869732.0
252,Bolivia,BOL,2016,56.1,55.0,11031822.0
275,Brazil,BRA,2006,50.2,15538.0,188167353.0
276,Brazil,BRA,2007,50.8,16331.0,190130445.0
277,Brazil,BRA,2008,51.5,17110.0,192030362.0
278,Brazil,BRA,2009,52.1,17660.0,193886505.0
279,Brazil,BRA,2010,52.7,18390.0,195713637.0
280,Brazil,BRA,2011,53.4,19132.0,197514541.0
281,Brazil,BRA,2012,54.0,19720.0,199287292.0
282,Brazil,BRA,2013,54.6,20330.0,201035904.0
